id_gpu,id_occurrence,type_piece_source,lien_web_document,reference_type,reference_precise,zone_reglementaire_mentionnee,portee_geometrique,extrait_significatif,contexte_documentaire,confiance_extrait,justification,nature_occurrence,nature_juridique_piece,nature_sonore_zone,statut_verification,ocr_utilise,ocr_confiance,date_traitement
12666ec8d6fb548ead67bc9c63776f94,1_246700777_reglement_20250704.pdf,règlement écrit,https://www.geoportail-urbanisme.gouv.fr/api/document/12666ec8d6fb548ead67bc9c63776f94/files/246700777_reglement_20250704.pdf,alinea,Article 24,secteurs de nuisance acoustique délimités sur le plan risques,zone_specifique,"Les constructions nouvelles à usage d’habitation et de bureaux, implantées dans les secteurs de nuisance acoustique délimités sur le plan risques du document graphique, à condition que les bâtiments* soient insonorisés conformément aux conditions prévues par les dispositions réglementaires en matière d’urbanisme, de construction et d’habitation.","Dispositions applicables à toutes les zones Les constructions nouvelles à usage d’habitation et de bureaux, implantées dans les secteurs de nuisance acoustique délimités sur le plan risques du document graphique, à condition que les bâtiments* soient insonorisés conformément aux conditions prévues par les dispositions réglementaires en matière d’urbanisme, de construction et d’habitation. constructions et installations admis au titre du présent règlement de zone le sont à condition que leur réalisation ne porte pas atteinte aux objectifs de conservation des habitats naturels et des populations des espèces de faune et de flore sauvage qui ont justifié la désignation d’un site NATURA 2…",forte,"Le passage impose une condition d'insonorisation aux constructions nouvelles d'habitation et de bureaux dans des secteurs de nuisance acoustique délimités sur le plan risques du document graphique — un zonage propre au document d'urbanisme, distinct du classement sonore des infrastructures ou du PEB. Il s'agit donc d'une règle autonome relevant du périmètre diagBruit, applicable à une zone spécifique délimitée graphiquement.",prescription,opposable en conformité,autre,validé,False,,2026-08-26
12666ec8d6fb548ead67bc9c63776f94,1_246700777_orientations_amenagement_1_20250704.pdf,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/12666ec8d6fb548ead67bc9c63776f94/files/246700777_orientations_amenagement_1_20250704.pdf,page,page 30,Neubois / Secteur 2,zone_specifique,"possibilité de maintien de l’activité existante sur le site en veillant à limitant les nuisances (sonores, olfactives, visuelles, …)","Neubois / Secteur 1 Schéma d’aménagement Légende 29/ PLUide la Communauté de Communes de la Vallée de Villé -OAP sectorielle -Décembre 2019 possibilité de maintien de l’activité existante sur le site en veillant à limitant les nuisances (sonores, olfactives, visuelles, …) • Insertion paysagère et architecturale - toits pentus privilégiés - mise en valeur du petit patrimoine (calvaire) • Desserte et organisation viaire - voirie avec arbres d’alignement - voirie de type «zone de rencontre» (caniveau central) • Mesures d’intégration environnementale - noue en pied de pe…",forte,"Le passage prévoit la possibilité de maintien d'une activité existante sur le site à condition de limiter les nuisances sonores (entre autres), ce qui constitue une règle autonome de gestion du bruit lié à une activité, applicable à ce secteur d'OAP spécifique.",recommandation,opposable en compatibilité,lutte_bruit_existant,validé,False,,2026-08-26
12666ec8d6fb548ead67bc9c63776f94,2_246700777_orientations_amenagement_1_20250704.pdf,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/12666ec8d6fb548ead67bc9c63776f94/files/246700777_orientations_amenagement_1_20250704.pdf,page,page 69,Secteur 1 - Villé,zone_specifique,"adaptation de l’habitat, voir des bâtiments d’activité pour se protéger du bruit (mesures de protection acoustique du bâti)","…servation des vergers/fonds de jardin des habitations de la rue du Soleil - partie Est du secteur : - emplacement destiné à la conservation/reconstitution d’une pelouse sèche (mesure compensatoire) - dans la partie basse «habiter le boisement». Déboisement limité au strict minimum, c’est-à-dire à la adaptation de l’habitat, voir des bâtiments d’activité pour se protéger du bruit (mesures de protection acoustique du bâti) Villé / Secteur 1 Schéma d’aménagement Légende habitat 71/ PLUide la Communauté de Communes de la Vallée de Villé -OAP sectorielle -Décembre 2019",forte,"Le passage prescrit une adaptation du bâti (logements, voire bâtiments d'activité) pour se protéger du bruit dans le cadre d'une OAP sectorielle spécifique à un secteur d'aménagement. Il s'agit d'une règle autonome concernant directement les bâtiments, dans le périmètre diagBruit. La zone concernée est le secteur d'OAP spécifique (secteur 1, commune de Villé), sans lien avec un classement sonore ou un PEB.",recommandation,opposable en compatibilité,autre,validé,False,,2026-08-26
412b38543365d415503144f60d56898b,1_67004_reglement_20250522.pdf,règlement écrit,https://www.geoportail-urbanisme.gouv.fr/api/document/412b38543365d415503144f60d56898b/files/67004_reglement_20250522.pdf,alinea,Article 2,zones affectées par le bruit des axes de transports terrestres bruyants (matérialisées au plan des annexes),zone_specifique,"prise en compte du PLU de documents de planification supérieurs. 3. Les articles L 102-13, L153-11 et L424-1 du Code de l’Urbanisme, sur le fond desquels peut être opposé un sursis à statuer. 4. Les constructions à usage d’hébergement et d’habitation doivent en outre répondre aux exigences d’isolement acoustique par rapport aux axes de transports terrestres bruyants, conformément à la réglementation en vigueur. Les zones concernées sont","…sur le territoire communal : 1. Les articles d’ordre public du Code de l’urbanisme :  R 111-2 : salubrité et sécurité publique ;  R 111-4 : conservation et mise en valeur d’un site ou vestige archéologique ; 2. Les articles L. 131-4 à L131-7 du Code de l’Urbanisme, imposant la compatibilité ou la prise en compte du PLU de documents de planification supérieurs. 3. Les articles L 102-13, L153-11 et L424-1 du Code de l’Urbanisme, sur le fond desquels peut être opposé un sursis à statuer. 4. Les constructions à usage d’hébergement et d’habitation doivent en outre répondre aux exigences d’isolement acoustique par rapport aux axes de transports terrestres bruyants, conformément à la réglementation en vigueur. Les zones concernées sont matérialisées au plan des annexes. 5. Les articles L. 153-54 et L 421-6 du Code de l’Urbanisme concernant les opérations déclarées d’utilité publique. 6. L’article L. 600-2 du Code de l’Urbanisme relatif aux règles applicables en cas d’annulation d’une décision de refus de permis de construire. II.…",moyenne,"Le passage impose une exigence d'isolement acoustique pour les constructions d'hébergement et d'habitation à proximité des axes de transports terrestres bruyants, ce qui relève du périmètre diagBruit (bâtiments). Toutefois, le texte précise que cela est 'conformément à la réglementation en vigueur', ce qui correspond exactement au renvoi standard du classement sonore des voies déjà traité ailleurs par diagBruit. Il n'y a pas d'exigence allant au-delà de cette réglementation standard. Néanmoins, comme les zones concernées sont matérialisées sur un plan spécifique (zone_specifique) et que la règle est explicitement formulée comme une prescription applicable aux constructions, je la retiens avec une confiance modérée car elle reste proche du simple renvoi mais mentionne une zone précise nécessitant un tracé manuel.",prescription,opposable en conformité,lutte_bruit_existant,validé,False,,2026-08-26
20a61be30f5ddb32c595001f8ac12cc9,1_67008_padd_20250519.pdf,PADD,https://www.geoportail-urbanisme.gouv.fr/api/document/20a61be30f5ddb32c595001f8ac12cc9/files/67008_padd_20250519.pdf,page,page 5,,zone_specifique,prendre en compte les nuisances sonores générées par l’autoroute A 35,"…anisation sera limité. La zone d’activités intercommunale de l’Activeum, située à proximité de la gare, bénéficie d’une très bonne desserte en transport en commun. A plus long terme, les zones d’extensions urbaines envisageables pourraient se situer au sud de la commune à l’arrière des constructions prendre en compte les nuisances sonores générées par l’autoroute A 35 PLU D’ALTORF PADD PLU ARRETE PAGE 3",forte,"Le PADD recommande de prendre en compte les nuisances sonores générées par l'autoroute A35 lors de l'urbanisation future des zones d'extension situées au sud de la commune, le long de la route de Strasbourg. Il s'agit d'une orientation concernant l'aménagement urbain à proximité d'une infrastructure bruyante, donc bien dans le périmètre diagBruit (impact sur les futures constructions, pas seulement sur l'infrastructure elle-même). La zone concernée est géographiquement circonscrite (extension sud, le long de la route de Strasbourg), sans contour administratif global, d'où une portée zone_specifique.",recommandation,non opposable,autre,validé,False,,2026-08-26
d6449f258395c61f12c79e468c6c994a,1_200034270_reglement_20260716.pdf,règlement écrit,https://www.geoportail-urbanisme.gouv.fr/api/document/d6449f258395c61f12c79e468c6c994a/files/200034270_reglement_20260716.pdf,alinea,Article 2,secteurs de nuisance acoustique délimités sur le plan risques du document graphique,zone_specifique,"Les constructions* nouvelles à usage d’habitation et de bureaux, implantées dans les secteurs de nuisance acoustique délimités sur le plan risques du document graphique, à condition que les bâtiments* soient insonorisés conformément aux conditions prévues par les dispositions réglementaires en matière d’urbanisme, de construction* et d’habitation.","…), d’un point de vue de la préservation de la salubrité publique. Des restrictions d’usage particulières, permettant de garantir la salubrité publique pourront être définies selon le niveau de pollution. Les constructions* nouvelles à usage d’habitation et de bureaux, implantées dans les secteurs de Les constructions* nouvelles à usage d’habitation et de bureaux, implantées dans les secteurs de nuisance acoustique délimités sur le plan risques du document graphique, à condition que les bâtiments* soient insonorisés conformément aux conditions prévues par les dispositions réglementaires en matière d’urbanisme, de construction* et d’habitation. devront se conformer aux prescriptions figurant dans les arrêtés de Déclaration d’Utilité Publique des captages d’eau potable. Les constructions* et installations* doivent se conformer aux dispositions du Plan de prévention du risque inondation Ehn-Andlau-Scheer, ou en l’absence et dans l’attente de…",moyenne,"Ce passage définit un secteur de nuisance acoustique propre au document graphique (plan risques), distinct du classement sonore des voies ou du PEB, imposant une condition d'insonorisation des bâtiments d'habitation et de bureaux dans ce secteur. Il s'agit donc d'une règle autonome relevant du périmètre diagBruit, applicable à une zone spécifique tracée sur le document graphique.",prescription,opposable en conformité,autre,validé,False,,2026-08-26
284928e1449906994f1323c4fc818562,1_200040178_padd_20260629_A.pdf,PADD,https://www.geoportail-urbanisme.gouv.fr/api/document/284928e1449906994f1323c4fc818562/files/200040178_padd_20260629_A.pdf,page,page 9,,administrative,"Prévenir les risques de nuisances sonores le long des axes de circulation. Toute urbanisation nouvelle, en extension, le long des axes à risques, doit être évité.","…et les espaces agricoles proprement dits. Maintenir la place qu'il convient à des éléments paysagers tels que jardins, haies champêtres, bosquets et vergers, de telle sorte qu'ils soient intégrés comme des éléments de conception à part entière dans le cadre de l'aménagement de ces futurs quartiers. Prévenir les risques de nuisances sonores le long des axes de circulation. Toute urbanisation nouvelle, en extension, le long des axes à risques, doit être évité. habitations. En effet, le territoire du HATTGAU comporte, entre autre, un certain nombre d'Installations Classées pour la Protection de l'Environnement (ICPE). Objectif 1-2 : Les politiques d'équipement Maintenir l'offre d'équipements et permettre son fonctionnement autant dans les villages que dans…",forte,"Le PADD énonce un objectif de prévention des nuisances sonores le long des axes de circulation et d'évitement de l'urbanisation nouvelle en extension le long des axes à risques. Cette règle concerne bien l'urbanisation résidentielle à proximité des infrastructures (pas seulement l'infrastructure elle-même), donc elle relève du périmètre diagBruit. Il s'agit d'un objectif de PADD, formulé de façon assez générale et programmatique (recommandation), sans zone réglementaire précise délimitée, donc portée administrative par défaut.",recommandation,non opposable,lutte_bruit_existant,validé,False,,2026-08-26
284928e1449906994f1323c4fc818562,2_200040178_padd_20260629_A.pdf,PADD,https://www.geoportail-urbanisme.gouv.fr/api/document/284928e1449906994f1323c4fc818562/files/200040178_padd_20260629_A.pdf,page,page 10,,administrative,"permettant, par exemple, l'évolution des corps de ferme vers du logement ou de l'activité en limitant les nuisances potentielles (stationnement, bruit, etc.)","…la structure de l'habitat rural traditionnel caractérisé par la configuration ferme-cour. Préserver l'identité visuelle forte des rues par la présence de constructions traditionnelles à colombages dans les villages. Protéger le patrimoine bâti remarquable des communes du HATTGAU par des possibilités permettant, par exemple, l'évolution des corps de ferme vers du logement ou de l'activité en limitant les nuisances potentielles (stationnement, bruit, etc.) annexes en habitat par exemple. Urbanisme, du patrimoine à l'innovation Encadrer l'évolution du bâti traditionnel en préservant ses caractéristiques urbaines et architecturales (volumes et modes d'implantation, matériaux de constructions, présence de jardin et vergers, etc.). Préserver la valeur du…",moyenne,"Le PADD recommande de permettre l'évolution des corps de ferme vers du logement ou de l'activité tout en limitant les nuisances potentielles, dont le bruit. Il s'agit d'une orientation générale applicable à l'ensemble du bâti rural traditionnel des communes concernées, en lien avec des projets de reconversion de bâtiments, ce qui relève du périmètre diagBruit. La formulation reste toutefois assez générale et associée à d'autres nuisances (stationnement), ce qui limite la précision de la règle.",recommandation,non opposable,autre,validé,False,,2026-08-26
284928e1449906994f1323c4fc818562,1_200040178_orientations_amenagement_18_00_20260629_A.pdf,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/284928e1449906994f1323c4fc818562/files/200040178_orientations_amenagement_18_00_20260629_A.pdf,page,page 59,,administrative,"Le projet devra rechercher, dans sa conception, à orienter les bâtiments et les équipements bruyants par rapport aux bâtiments et zones sensibles au bruit","…de réutilisation des eaux pluviales, celle-ci devra être conforme aux normes en vigueur, notamment l’arrêté du 21 août 2008 ; - les places de stationnement destinées aux véhicules légers seront réalisées en structure perméable ; - Pour les terrains concernés par le risque de remontées de nappe, des Le projet devra rechercher, dans sa conception, à orienter les bâtiments et les équipements bruyants par rapport aux bâtiments et zones sensibles au bruit PLUi (le périmètre est classé au niveau 3 sur 5, considéré comme très modéré). o Risque induit, que le projet, notamment le forage, pourrait éventuellement générer : le projet devra étudier l’impact potentiel et prévoir les mesures adaptées, notamment en s’appuyant sur le guide des bonnes pratiques…",totale,"Le passage prescrit une orientation des bâtiments et équipements bruyants par rapport aux bâtiments et zones sensibles au bruit, ce qui est une recommandation d'urbanisme relevant du périmètre diagBruit (implantation des constructions). Aucune limite spatiale spécifique n'est mentionnée, donc portée administrative par défaut.",recommandation,opposable en compatibilité,autre,validé,False,,2026-08-26
171518c6d5441a4ad41c30cf32dbe4ca,1_200067874_padd_20260427.pdf,PADD,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_padd_20260427.pdf,page,page 23,,administrative,"perméables dans les aménagements urbains. politiques urbaines En se prémunissant des risques liés à l’eau En améliorant la qualité de l’air et en limitant ` Favoriser la gestion intégrée des eaux de les nuisances sonores ruissellement en privilégiant par exemple, la gestion gravitaire en surface et/ou l’infiltration au plus près ` Mobiliser plusieurs leviers : favoriser la mobilité de la goutte d’eau. active par le développement d’équipements tant","…tion des ressources et d’adaptation préférentiellement des éléments arborés pour des conditions de vie pour un environnement développer l’ombrage naturel. plus sain, positionnant la question de la santé des ` Donner plus de place à l’eau et aux surfaces habitants et usagers du territoire au cœur des perméables dans les aménagements urbains. politiques urbaines En se prémunissant des risques liés à l’eau En améliorant la qualité de l’air et en limitant ` Favoriser la gestion intégrée des eaux de les nuisances sonores ruissellement en privilégiant par exemple, la gestion gravitaire en surface et/ou l’infiltration au plus près ` Mobiliser plusieurs leviers : favoriser la mobilité de la goutte d’eau. active par le développement d’équipements tant à l’échelle des quartiers qu’entre les centres ` Assurer le fonctionnement naturel des cours d’eau : urbains, apaiser la circulation, accompagner limitation de l’artificialisation des berges, maintien de du développement des modes de transports reculs de construction, … électriques, prendre en compt…",moyenne,"Le PADD énonce un objectif général de limitation des nuisances sonores dans le cadre de l'amélioration de la qualité de l'air et de vie, en s'appuyant notamment sur la mobilité active et l'apaisement de la circulation. Il s'agit d'une orientation générale applicable à l'ensemble du territoire, sans zone spécifique désignée. La formulation reste toutefois assez vague et programmatique, typique d'un PADD, ce qui limite la précision de la prescription.",recommandation,non opposable,lutte_bruit_existant,validé,False,,2026-08-26
