nom_commune,code_insee_commune,code_siren_epci,nom_document,nature_document,id_gpu,date_approbation,niveau_couverture,date_traitement,statut
Achenheim,67001,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Bischheim,67043,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Blaesheim,67049,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Breuschwickersheim,67065,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Eckbolsheim,67118,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Eckwersheim,67119,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Entzheim,67124,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Eschau,67131,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Fegersheim,67137,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Geispolsheim,67152,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Hangenbieten,67182,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Hœnheim,67204,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Holtzheim,67212,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Illkirch-Graffenstaden,67218,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Kolbsheim,67247,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Lampertheim,67256,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
Lingolsheim,67267,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,2026-08-12,document trouvé
