id_gpu,id_occurrence,nom_document,communes,type_piece_source,lien_web_document,reference_type,reference_precise,zone_reglementaire_mentionnee,portee_geometrique,extrait_significatif,contexte_documentaire,confiance_extrait,justification,nature_occurrence,nature_juridique_piece,nature_sonore_zone,statut_verification,ocr_utilise,ocr_confiance,priorite
95d3871caefe158c101a466ab9e91c5b,1_246700488_padd_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",PADD,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_padd_20260206.pdf,page,page 9,,administrative,"les risques pour la santé publique (la qualité de l'eau, celle de l'air, les nuisances sonores et le traitement des déchets)","…urbains remarquables comme ceux compris dans le périmètre du Plan de Sauvegarde et de Mise en Valeur de Strasbourg mais aussi, plus généralement, ceux représentatifs d'une urbanisation traditionnelle ; • Garantir la qualité paysagère et du bâti des entrées de ville et préserver les éléments majeurs les risques pour la santé publique (la qualité de l'eau, celle de l'air, les nuisances sonores et le traitement des déchets) œuvre de celui-ci, dont bon nombre concerne l'agglomération strasbourgeoise. L'élaboration du PLU métropolitain s'inscrit en outre dans le même temps que certaines évolutions du SCOTERS. Celui-ci a notamment lancé des réflexions pour élaborer un volet traitant de l'aménagement commercial. Ces élémen…",faible,"Le passage mentionne, dans une liste très générale d'objectifs du SCOTERS, la prévention des risques pour la santé publique incluant les nuisances sonores. Il s'agit d'une orientation très générale et peu précise, sans définition d'une règle concrète, d'un zonage ou d'une mesure d'isolement particulière. La confiance est donc faible car le passage est une simple énumération d'intentions générales, difficile à traduire en prescription opérationnelle claire.",recommandation,non opposable,lutte_bruit_existant,validé,False,,3
95d3871caefe158c101a466ab9e91c5b,4_246700488_orientations_amenagement_1_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 203,,zone_specifique,"contraintes (risques technologiques, trafics routier et ferroviaire, contraintes de bruit, nuisances acoustiques, pollution des sols...) à prendre en compte dans les choix programmatiques","…nt défini dans le PADD du PLU communautaire comme site métropolitain, ayant vocation à participer au renforcement de l’attractivité du cœur métropolitain et à son repositionnement sur le Rhin. Le site est caractérisé par la présence de l’eau et la proximité du port dont l’activité génère un ensemble contraintes (risques technologiques, trafics routier et ferroviaire, contraintes de bruit, nuisances acoustiques, pollution des sols...) à prendre en compte dans les choix programmatiques fortement structuré par ces dernières : - l’avenue du Rhin, reliant Kehl à Strasbourg ; - la liaison interport Nord-Sud reliant le port Nord au port Sud ; - l’extension transfrontalière de la ligne D du tramway reliant Strasbourg à Kehl en 2017, lien physique avec le territoire allemand ; - la ligne…",faible,"Le passage identifie des contraintes de bruit et nuisances acoustiques liées au trafic routier et ferroviaire à proximité du port, à prendre en compte dans les choix programmatiques du site. Il s'agit d'une orientation qui concerne l'aménagement du site (choix programmatiques, donc urbanisation à proximité des infrastructures), mais la formulation reste très générale et ne précise pas de mesure concrète, d'où une confiance limitée. La portée est circonscrite au site métropolitain décrit dans le contexte, pas à l'ensemble du document.",recommandation,opposable en compatibilité,lutte_bruit_existant,validé,False,,3
95d3871caefe158c101a466ab9e91c5b,5_246700488_orientations_amenagement_1_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 242,,zone_specifique,"en cas d'opportunité ou de requalification de l'autoroute A35 ou des voies ferrées, réduire les emprises des bretelles d'accès, améliorer les passages sous les ouvrages, et réduire les nuisances sonores et olfactives","…listes nécessaires pour s'affranchir des coupures générées par les cours d'eau et les infrastructures de transport ; - aménager et requalifier les espaces publics au droit des principaux accès au territoire Ill-Bruche : Porte des Romains, Porte de Schirmeck, Porte de la Meinau, Porte de l'Ill, Porte en cas d'opportunité ou de requalification de l'autoroute A35 ou des voies ferrées, réduire les emprises des bretelles d'accès, améliorer les passages sous les ouvrages, et réduire les nuisances sonores et olfactives les commerces de proximité et les activités artisanales ou tertiaires. • Maintenir des activités agricoles diversifiées (jardins familiaux, jardins partagés, agriculture maraîchère, pâturage,…) en permettant la présence de services annexes (surfaces constructibles associées, auvent, serres, points d…",faible,"Le passage évoque la réduction des nuisances sonores en cas de requalification de l'autoroute A35 ou des voies ferrées, mais cette recommandation concerne principalement l'infrastructure de transport elle-même (bretelles d'accès, passages sous ouvrages) plutôt que les bâtiments ou l'urbanisation à proximité. C'est pourquoi la confiance est faible malgré le maintien du statut retenu=true, conformément à la consigne sur les règles ne concernant que l'infrastructure. La portée est géométriquement limitée aux abords de l'A35 et des voies ferrées concernées, donc zone_specifique.",recommandation,opposable en compatibilité,lutte_bruit_existant,validé,False,,3
95d3871caefe158c101a466ab9e91c5b,23_246700488_orientations_amenagement_2_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page,page 449,,administrative,"Prendre en compte les contraintes environnementales : inondabilité, qualité de l'air, pollution sonore, qualité des sols.","…, hôtel, parking, bureaux). Sa structuration urbaine permet une deuxième phase d'urbanisation, entre la rue de la Corderie et le parc du Heyritz. Cette seconde phase s'inscrirait dans la continuité du projet urbain global. 2. ENJEUX - Assurer une articulation paysagère forte avec le parc du Heyritz. Prendre en compte les contraintes environnementales : inondabilité, qualité de l'air, pollution sonore, qualité des sols. - Proposer une continuité d'urbanisation en relation étroite avec son contexte ; - Développer le lien avec le parc public du Heyritz et préserver l'identité verte des lieux ; - Redéfinir l'entrée de ville le long de la rue de la Corderie ; - Favoriser les modes doux et limiter la place de la voiture…",faible,"Le passage identifie la pollution sonore comme une contrainte environnementale à prendre en compte dans le développement de l'urbanisation de cette OAP, ce qui constitue une règle autonome relevant du périmètre diagBruit (prise en compte du bruit dans l'aménagement, pas un simple renvoi au classement sonore ou au PEB). Cependant la formulation reste générale et peu précise sur la nature concrète de la mesure à prendre, d'où une confiance modérée à faible.",recommandation,opposable en compatibilité,autre,validé,False,,3
95d3871caefe158c101a466ab9e91c5b,2_246700488_padd_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",PADD,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_padd_20260206.pdf,page,page 22,,administrative,"les espaces naturels jouent un double rôle : • un rôle d'amélioration du cadre de vie, offrant aux habitants des espaces de calme, de respiration, des espaces de loisirs et de récréation, ou d'interface avec la nature en ville","…traverse la métropole du Sud au Nord et d'Ouest en Est, à proximité des espaces urbains les plus denses. Plus encore que sa préservation, c'est son renforcement qui est recherché dans le projet de territoire. En effet, au-delà des enjeux de maintien de la biodiversité, les espaces naturels jouent un les espaces naturels jouent un double rôle : • un rôle d'amélioration du cadre de vie, offrant aux habitants des espaces de calme, de respiration, des espaces de loisirs et de récréation, ou d'interface avec la nature en ville du projet de territoire. Elle joue un rôle central dans la mise en œuvre d'une métropole des proximités. Plan Local d’Urbanisme PADD SEPTEMBRE 2019 Eurométropole de Strasbourg",moyenne,"Le passage évoque le rôle des espaces naturels comme espaces de calme pour les habitants, ce qui relève de la préservation de zones calmes dans le cadre de vie urbain. Il s'agit d'une orientation générale du PADD sans zone géographique délimitée précisément, donc portée administrative.",recommandation,non opposable,preservation_zone_calme,validé,False,,13
95d3871caefe158c101a466ab9e91c5b,3_246700488_padd_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",PADD,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_padd_20260206.pdf,page,page 42,,administrative,Ces infrastructures de trans- ports et de déplacements définissent des secteurs contraignants en termes d'isolation acoustique des- tinés à réduire l'exposition des habitants.,"…de la voie EDF située en bordure du Rhin. Cet accès est sécurisé et réservé à la desserte du Port, pour dimi- nuer le trafic poids lourds au niveau de la route du Rhin, ayant pour origine et destination le port autonome. Cet aménagement devra tenir compte des sensibilités environnementales liées aux Ces infrastructures de trans- ports et de déplacements définissent des secteurs contraignants en termes d'isolation acoustique des- tinés à réduire l'exposition des habitants. Orientation n°4 : garantir la qualité de l'eau La protection du réseau d'approvisionnement en eau potable est assurée par la diversification des pompages et interconnectée par un maillage, de façon à sécuriser la distribution et à répondre aux besoins actuels et futurs. Dans les secteurs de captage…",moyenne,"Le PADD identifie l'aéroport, les infrastructures ferroviaires et les principaux axes routiers comme sources de nuisances sonores et évoque des secteurs contraignants en termes d'isolation acoustique visant à réduire l'exposition des habitants. Bien que cela évoque le classement sonore/PEB, la formulation reste vague et générale, à valeur d'orientation stratégique plutôt que de prescription précise ; elle ne définit pas de zone géométrique propre ni de règle d'isolement chiffrée, donc s'applique par défaut à l'ensemble du territoire. Le contenu concerne l'exposition des habitants (donc des bâtiments), ce qui relève bien du périmètre diagBruit.",recommandation,non opposable,lutte_bruit_existant,validé,False,,13
95d3871caefe158c101a466ab9e91c5b,1_246700488_orientations_amenagement_1_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 120,zone de vigilance Air (plan Vigilance),zone_specifique,"les prescriptions sur l’air ont un effet collatéral sur la réduction de l’exposition au bruit, ce qui représente un autre objectif affirmé du dispositif","…le l’amélioration du bien-être, et du cadre de vie des habitants et usagers de la métropole. Le volet Air de l’OAP s’inscrit, en complément des dispositions énoncées au règlement écrit, dans une démarche visant à rechercher en priorité l’évitement des incidences de la pollution de l’air intérieur et les prescriptions sur l’air ont un effet collatéral sur la réduction de l’exposition au bruit, ce qui représente un autre objectif affirmé du dispositif stratégique Air élaborée et mise à jour par ATMO Grand-Est ainsi que sur la cartographie de la hiérarchisation du réseau viaire du PLU, et propose trois niveaux d’enjeux : Les zones en dépassements réglementaires et en dépassements réglementaires potentiels, regroupées sous l’appellation « zone de d…",moyenne,"Le passage décrit le volet Air de l'OAP qui, en réduisant la pollution atmosphérique, a un effet collatéral positif sur la réduction de l'exposition au bruit dans les zones identifiées par la cartographie du plan Vigilance. Il ne s'agit pas d'un simple renvoi au classement sonore ou au PEB, mais d'une démarche propre au document d'urbanisme visant à réduire le bruit via les principes d'aménagement Air, applicables sur une zone spécifique cartographiée (plan Vigilance). La règle concerne bien l'aménagement urbain et non uniquement une infrastructure de transport, donc le périmètre diagBruit est concerné, mais la formulation reste peu précise sur le contenu concret de la prescription liée au bruit lui-même, d'où une confiance modérée.",recommandation,opposable en compatibilité,lutte_bruit_existant,validé,False,,13
95d3871caefe158c101a466ab9e91c5b,3_246700488_orientations_amenagement_2_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page,page 113,,zone_specifique,"maintenant de plus les constructions à l’abri des nuisances (sonores, automobiles…), tout en restant dans un pôle de centralité","…a de renforcer leur présence, leur développement et de favoriser les nouvelles implantations. Ainsi, à l’articulation entre deux quartiers inciter les échanges entre populations installées et nouveaux arrivants. A l’Ouest de la partie Nord, un nouvel équipement de type festif à l’échelle de toute la maintenant de plus les constructions à l’abri des nuisances (sonores, automobiles…), tout en restant dans un pôle de centralité Il permettra aux pièces de vie des logements d’être orientés Sud/Sud-Ouest. Le bâti devra utiliser sa surface d’emprise pour gérer les stationnements. Plus proches du plot plus que de la barre, des petits modules en RDParc+2 ménageront des ouvertures et des perspectives. Les toitures seront plates o…",moyenne,"Le passage recommande l'implantation privilégiée d'un équipement de type festif à un endroit précis (Ouest de la partie Nord) afin de maintenir les constructions à l'abri des nuisances sonores et automobiles. C'est une règle d'aménagement urbain liée au bruit, localisée à une zone spécifique du document, donc dans le périmètre diagBruit.",recommandation,opposable en compatibilité,lutte_bruit_existant,validé,False,,13
95d3871caefe158c101a466ab9e91c5b,8_246700488_orientations_amenagement_2_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page,page 251,,zone_specifique,"le caractère relativement fermé, pour des raisons acoustiques, des façades latérales Est et Ouest","d'alignement pour assurer un confort d'été et pour participer à la qualité du cadre de vie des futurs habitants du quartier. Plan Local d’Urbanisme OAP COMMUNALES JUIN 2021 Modification n°3 Commune de Lipsheim Eurométropole de Strasbourg le caractère relativement fermé, pour des raisons acoustiques, des façades latérales Est et Ouest Les modes actifs seront privilégiés dans le futur quartier, notamment grâce à une venelle, orientée Est- Ouest, qui permettra une circulation piétonne fluide. Les parcours vers le pôle multimodal et vers le centre de Fegersheim seront privilégiés. Le quartier sera desservi par deux pistes cyclables…",moyenne,"Le passage recommande de fermer relativement les façades latérales Est et Ouest des bâtiments pour des raisons acoustiques, en lien avec la voirie traversant le quartier. C'est une règle d'aménagement/orientation des bâtiments liée au bruit, donc dans le périmètre diagBruit, applicable à une zone d'OAP spécifique.",recommandation,opposable en compatibilité,autre,validé,False,,13
95d3871caefe158c101a466ab9e91c5b,22_246700488_orientations_amenagement_2_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page,page 448,,zone_specifique,"La localisation des programmations participe également à la création d'un territoire apaisé (nuisances sonores, accessibilité).","…ouverture vers le parc, gestion des limites, projet paysager).  Un territoire apaisé Entouré par des réseaux de flux structurants et bruyants, le cœur du site se veut apaisé et ouvert sur les espaces verts et le canal. Pour ce faire, la place de la voiture est fortement limitée afin de favoriser au La localisation des programmations participe également à la création d'un territoire apaisé (nuisances sonores, accessibilité). - 383 -  Un quartier mixte D'une surface de près de 24 hectares, le Heyritz est à l'interface entre plusieurs territoires (hôpital civil, Neudorf Schluthfeld, RN4/entrée de ville, secteur Deux Rives, PNU Bruche). Le développement urbain se structure autour du parc public du Heyritz qui est le lien…",moyenne,"Le passage évoque la nécessité de limiter la place de la voiture et de concentrer les circulations automobiles en périphérie, ainsi que la localisation des programmations, dans le but explicite de créer un 'territoire apaisé' incluant la gestion des 'nuisances sonores'. Cette orientation d'aménagement urbain relève bien du périmètre diagBruit (organisation spatiale des usages pour limiter le bruit à proximité des bâtiments), mais elle est formulée de façon assez générale et rattachée à un secteur d'OAP spécifique (site du Heyritz), donc portée géométrique zone_specifique.",recommandation,opposable en compatibilité,lutte_bruit_existant,validé,False,,13
