id_gpu,id_occurrence,nom_document,communes,type_piece_source,lien_web_document,reference_type,reference_precise,zone_reglementaire_mentionnee,portee_geometrique,extrait_significatif,contexte_documentaire,confiance_extrait,justification,nature_occurrence,nature_juridique_piece,nature_sonore_zone,statut_verification,ocr_utilise,ocr_confiance,priorite,validation_manuelle_statut,validation_manuelle_commentaire
95d3871caefe158c101a466ab9e91c5b,1_246700488_padd_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",PADD,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_padd_20260206.pdf,page,page 9,,administrative,"les risques pour la santé publique (la qualité de l'eau, celle de l'air, les nuisances sonores et le traitement des déchets)","…urbains remarquables comme ceux compris dans le périmètre du Plan de Sauvegarde et de Mise en Valeur de Strasbourg mais aussi, plus généralement, ceux représentatifs d'une urbanisation traditionnelle ; • Garantir la qualité paysagère et du bâti des entrées de ville et préserver les éléments majeurs les risques pour la santé publique (la qualité de l'eau, celle de l'air, les nuisances sonores et le traitement des déchets) œuvre de celui-ci, dont bon nombre concerne l'agglomération strasbourgeoise. L'élaboration du PLU métropolitain s'inscrit en outre dans le même temps que certaines évolutions du SCOTERS. Celui-ci a notamment lancé des réflexions pour élaborer un volet traitant de l'aménagement commercial. Ces élémen…",faible,"Le passage mentionne, dans une liste très générale d'objectifs du SCOTERS, la prévention des risques pour la santé publique incluant les nuisances sonores. Il s'agit d'une orientation très générale et peu précise, sans définition d'une règle concrète, d'un zonage ou d'une mesure d'isolement particulière. La confiance est donc faible car le passage est une simple énumération d'intentions générales, difficile à traduire en prescription opérationnelle claire.",recommandation,non opposable,lutte_bruit_existant,validé,False,,3,rejeté,trop vague
95d3871caefe158c101a466ab9e91c5b,5_246700488_orientations_amenagement_1_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 242,,zone_specifique,"en cas d'opportunité ou de requalification de l'autoroute A35 ou des voies ferrées, réduire les emprises des bretelles d'accès, améliorer les passages sous les ouvrages, et réduire les nuisances sonores et olfactives","…listes nécessaires pour s'affranchir des coupures générées par les cours d'eau et les infrastructures de transport ; - aménager et requalifier les espaces publics au droit des principaux accès au territoire Ill-Bruche : Porte des Romains, Porte de Schirmeck, Porte de la Meinau, Porte de l'Ill, Porte en cas d'opportunité ou de requalification de l'autoroute A35 ou des voies ferrées, réduire les emprises des bretelles d'accès, améliorer les passages sous les ouvrages, et réduire les nuisances sonores et olfactives les commerces de proximité et les activités artisanales ou tertiaires. • Maintenir des activités agricoles diversifiées (jardins familiaux, jardins partagés, agriculture maraîchère, pâturage,…) en permettant la présence de services annexes (surfaces constructibles associées, auvent, serres, points d…",faible,"Le passage évoque la réduction des nuisances sonores en cas de requalification de l'autoroute A35 ou des voies ferrées, mais cette recommandation concerne principalement l'infrastructure de transport elle-même (bretelles d'accès, passages sous ouvrages) plutôt que les bâtiments ou l'urbanisation à proximité. C'est pourquoi la confiance est faible malgré le maintien du statut retenu=true, conformément à la consigne sur les règles ne concernant que l'infrastructure. La portée est géométriquement limitée aux abords de l'A35 et des voies ferrées concernées, donc zone_specifique.",recommandation,opposable en compatibilité,lutte_bruit_existant,validé,False,,3,rejeté,concerne les routes
95d3871caefe158c101a466ab9e91c5b,2_246700488_padd_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",PADD,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_padd_20260206.pdf,page,page 22,,administrative,"les espaces naturels jouent un double rôle : • un rôle d'amélioration du cadre de vie, offrant aux habitants des espaces de calme, de respiration, des espaces de loisirs et de récréation, ou d'interface avec la nature en ville","…traverse la métropole du Sud au Nord et d'Ouest en Est, à proximité des espaces urbains les plus denses. Plus encore que sa préservation, c'est son renforcement qui est recherché dans le projet de territoire. En effet, au-delà des enjeux de maintien de la biodiversité, les espaces naturels jouent un les espaces naturels jouent un double rôle : • un rôle d'amélioration du cadre de vie, offrant aux habitants des espaces de calme, de respiration, des espaces de loisirs et de récréation, ou d'interface avec la nature en ville du projet de territoire. Elle joue un rôle central dans la mise en œuvre d'une métropole des proximités. Plan Local d’Urbanisme PADD SEPTEMBRE 2019 Eurométropole de Strasbourg",moyenne,"Le passage évoque le rôle des espaces naturels comme espaces de calme pour les habitants, ce qui relève de la préservation de zones calmes dans le cadre de vie urbain. Il s'agit d'une orientation générale du PADD sans zone géographique délimitée précisément, donc portée administrative.",recommandation,non opposable,preservation_zone_calme,validé,False,,13,rejeté,trop général
95d3871caefe158c101a466ab9e91c5b,3_246700488_padd_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",PADD,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_padd_20260206.pdf,page,page 42,,administrative,Ces infrastructures de trans- ports et de déplacements définissent des secteurs contraignants en termes d'isolation acoustique des- tinés à réduire l'exposition des habitants.,"…de la voie EDF située en bordure du Rhin. Cet accès est sécurisé et réservé à la desserte du Port, pour dimi- nuer le trafic poids lourds au niveau de la route du Rhin, ayant pour origine et destination le port autonome. Cet aménagement devra tenir compte des sensibilités environnementales liées aux Ces infrastructures de trans- ports et de déplacements définissent des secteurs contraignants en termes d'isolation acoustique des- tinés à réduire l'exposition des habitants. Orientation n°4 : garantir la qualité de l'eau La protection du réseau d'approvisionnement en eau potable est assurée par la diversification des pompages et interconnectée par un maillage, de façon à sécuriser la distribution et à répondre aux besoins actuels et futurs. Dans les secteurs de captage…",moyenne,"Le PADD identifie l'aéroport, les infrastructures ferroviaires et les principaux axes routiers comme sources de nuisances sonores et évoque des secteurs contraignants en termes d'isolation acoustique visant à réduire l'exposition des habitants. Bien que cela évoque le classement sonore/PEB, la formulation reste vague et générale, à valeur d'orientation stratégique plutôt que de prescription précise ; elle ne définit pas de zone géométrique propre ni de règle d'isolement chiffrée, donc s'applique par défaut à l'ensemble du territoire. Le contenu concerne l'exposition des habitants (donc des bâtiments), ce qui relève bien du périmètre diagBruit.",recommandation,non opposable,lutte_bruit_existant,validé,False,,13,rejeté,C'est le classement sonore
95d3871caefe158c101a466ab9e91c5b,1_246700488_orientations_amenagement_1_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 120,zone de vigilance Air (plan Vigilance),zone_specifique,"les prescriptions sur l’air ont un effet collatéral sur la réduction de l’exposition au bruit, ce qui représente un autre objectif affirmé du dispositif","…le l’amélioration du bien-être, et du cadre de vie des habitants et usagers de la métropole. Le volet Air de l’OAP s’inscrit, en complément des dispositions énoncées au règlement écrit, dans une démarche visant à rechercher en priorité l’évitement des incidences de la pollution de l’air intérieur et les prescriptions sur l’air ont un effet collatéral sur la réduction de l’exposition au bruit, ce qui représente un autre objectif affirmé du dispositif stratégique Air élaborée et mise à jour par ATMO Grand-Est ainsi que sur la cartographie de la hiérarchisation du réseau viaire du PLU, et propose trois niveaux d’enjeux : Les zones en dépassements réglementaires et en dépassements réglementaires potentiels, regroupées sous l’appellation « zone de d…",moyenne,"Le passage décrit le volet Air de l'OAP qui, en réduisant la pollution atmosphérique, a un effet collatéral positif sur la réduction de l'exposition au bruit dans les zones identifiées par la cartographie du plan Vigilance. Il ne s'agit pas d'un simple renvoi au classement sonore ou au PEB, mais d'une démarche propre au document d'urbanisme visant à réduire le bruit via les principes d'aménagement Air, applicables sur une zone spécifique cartographiée (plan Vigilance). La règle concerne bien l'aménagement urbain et non uniquement une infrastructure de transport, donc le périmètre diagBruit est concerné, mais la formulation reste peu précise sur le contenu concret de la prescription liée au bruit lui-même, d'où une confiance modérée.",recommandation,opposable en compatibilité,lutte_bruit_existant,validé,False,,13,rejeté,Il n'y a pas de regles : ça dt juste que ce qui touche à l'air touche au bruit
95d3871caefe158c101a466ab9e91c5b,22_246700488_orientations_amenagement_2_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page,page 448,,zone_specifique,"La localisation des programmations participe également à la création d'un territoire apaisé (nuisances sonores, accessibilité).","…ouverture vers le parc, gestion des limites, projet paysager).  Un territoire apaisé Entouré par des réseaux de flux structurants et bruyants, le cœur du site se veut apaisé et ouvert sur les espaces verts et le canal. Pour ce faire, la place de la voiture est fortement limitée afin de favoriser au La localisation des programmations participe également à la création d'un territoire apaisé (nuisances sonores, accessibilité). - 383 -  Un quartier mixte D'une surface de près de 24 hectares, le Heyritz est à l'interface entre plusieurs territoires (hôpital civil, Neudorf Schluthfeld, RN4/entrée de ville, secteur Deux Rives, PNU Bruche). Le développement urbain se structure autour du parc public du Heyritz qui est le lien…",moyenne,"Le passage évoque la nécessité de limiter la place de la voiture et de concentrer les circulations automobiles en périphérie, ainsi que la localisation des programmations, dans le but explicite de créer un 'territoire apaisé' incluant la gestion des 'nuisances sonores'. Cette orientation d'aménagement urbain relève bien du périmètre diagBruit (organisation spatiale des usages pour limiter le bruit à proximité des bâtiments), mais elle est formulée de façon assez générale et rattachée à un secteur d'OAP spécifique (site du Heyritz), donc portée géométrique zone_specifique.",recommandation,opposable en compatibilité,lutte_bruit_existant,validé,False,,13,rejeté,doublon avec occurence précédente
95d3871caefe158c101a466ab9e91c5b,3_246700488_orientations_amenagement_1_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 123,,administrative,la prise en compte des enjeux liés à la qualité de l’air et au bruit devront être justifiés dans le projet en termes d’aménagement global et/ou de conception des bâtiments,"…rmet également d’optimiser l’ensoleillement et de réduire les îlots de chaleur urbain (cf. chapitre suivant). Ces principes devront être abordés dès le stade de la conception du projet, quand la configuration de l’unité foncière le permet et sans toutefois rompre l’ordonnancement urbain préexistant. la prise en compte des enjeux liés à la qualité de l’air et au bruit devront être justifiés dans le projet en termes d’aménagement global et/ou de conception des bâtiments -66 f - PRINCIPES D’AMÉNAGEMENT CONCERNANT L’ADAPTATION AU CHANGEMENT CLIMATIQUE Principes concernant les espaces de respiration au sein des projets 1. INTRODUCTION / CONTEXTE L’Alsace est particulièrement sensible à deux facteurs : les canicules et les épisodes de pollution à l’ozone, entrainant no…",forte,"Le passage impose que la prise en compte du bruit soit justifiée dans le projet, en termes d'aménagement global et/ou de conception des bâtiments. Cela concerne directement les projets de construction et d'aménagement urbain, donc pleinement dans le périmètre diagBruit. La règle s'applique sans délimitation géographique spécifique, donc portée administrative (ensemble du document).",prescription,opposable en compatibilité,autre,validé,False,,23,rejeté,
95d3871caefe158c101a466ab9e91c5b,7_246700488_orientations_amenagement_1_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 270,,administrative,"terrestre feront l’objet de dispositifs s’isolation acoustique. 3.2. LES PRINCIPES D’AMÉNAGEMENT PAR SECTEUR Modernisation et restructuration des secteurs dédiés aux activités commerciales • Les plans ci-après représentent les trois secteurs commerciaux existants qui ont vocation à être restructurés : homogénéisation du traitement des façades, travail sur l'alignement, mutualisation des parcs de stationnements, création de cheminements piétons, travail","…Prendre en compte les nuisances acoustiques - les installations techniques des futurs bâtiments visant à aspirer de l’air (VMC) ne pourront pas être implantées sur les façades donnant sur l’A4 et sur la RD 63, - les constructions situées dans les zones de bruit liées aux infrastructures de transport terrestre feront l’objet de dispositifs s’isolation acoustique. 3.2. LES PRINCIPES D’AMÉNAGEMENT PAR SECTEUR Modernisation et restructuration des secteurs dédiés aux activités commerciales • Les plans ci-après représentent les trois secteurs commerciaux existants qui ont vocation à être restructurés : homogénéisation du traitement des façades, travail sur l'alignement, mutualisation des parcs de stationnements, création de cheminements piétons, travail paysager pour le développement d'espaces végétalisés, etc. Plan Local d’Urbanisme OAP MÉTROPOLITAINES SEPTEMBRE 2019 Zone Commerciale Nord Eurométropole de Strasbourg",forte,"Le passage (dont la phrase commence dans le contexte avant) impose que les constructions situées dans les zones de bruit liées aux infrastructures de transport terrestre fassent l'objet de dispositifs d'isolation acoustique. Il s'agit d'une prescription visant les bâtiments eux-mêmes (pas l'infrastructure), donc pleinement dans le périmètre diagBruit. Ce n'est pas un simple renvoi au classement sonore : la règle est formulée comme une prescription autonome du document d'urbanisme visant toutes les constructions concernées, sans limite spatiale propre au-delà du périmètre du document, d'où une portée administrative.",prescription,opposable en compatibilité,lutte_bruit_existant,validé,False,,23,rejeté,traité dans l'occurence précédente
95d3871caefe158c101a466ab9e91c5b,8_246700488_orientations_amenagement_1_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 279,secteur autour du giratoire,zone_specifique,"Intégrer les différentes nuisances du site pour proposer des solutions urbaines, paysagères et architecturales permettant la cohabitation avec du logement : route de Strasbourg (RD 263 : qualité d'air et pollution sonore), autoroutes (qualité d'air et pollution sonore), voie ferrée à l'ouest (pollution sonore)","…r du giratoire (traitement et programmation des rez-de-chaussée : pas de logements mono-orientés vers la route, aucun logement en rez-de-chaussée autour du giratoire, pas de locaux techniques ou de murs aveugles…). - Privilégier l'implantation de commerces et services de proximité en rez-de-chaussée Intégrer les différentes nuisances du site pour proposer des solutions urbaines, paysagères et architecturales permettant la cohabitation avec du logement : route de Strasbourg (RD 263 : qualité d'air et pollution sonore), autoroutes (qualité d'air et pollution sonore), voie ferrée à l'ouest (pollution sonore) qualitatives). Cette contextualisation implique également une organisation des logements et un traitement des façades et prolongements extérieurs spécifiques. - Limiter les conflits de cohabitation avec les locaux d'activités existants et intégrer leurs contraintes fonctionnelles (éléments technique…",forte,"Le passage recommande d'intégrer les nuisances sonores (route de Strasbourg, autoroutes, voie ferrée) dans la conception urbaine, paysagère et architecturale des futurs logements autour du giratoire (organisation des logements, traitement des façades). Il ne s'agit pas d'un simple renvoi au classement sonore mais d'une exigence de conception urbaine et architecturale intégrant le bruit comme critère, ce qui va au-delà de l'isolement acoustique standard. La règle concerne un secteur géographique précis (autour du giratoire) et non l'ensemble du document.",recommandation,opposable en compatibilité,lutte_bruit_existant,validé,False,,23,rejeté,traité dans l'occurence précédente
95d3871caefe158c101a466ab9e91c5b,10_246700488_orientations_amenagement_1_20260206.pdf,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 290,Secteur d'OAP aux abords de l'A35 (Entzheim/Geispolsheim),zone_specifique,La nature des plantations devra permettre : - d’atténuer les nuisances sonores vis-à-vis des zones urbanisées d’Entzheim et de Geispolsheim,"…la création d’espaces végétalisés contribuant aux continuités écologiques de part et d’autre de l’A35. Les principes de cette OAP visent à renforcer les protections naturelles déjà en place contre les nuisances acoustiques et à améliorer la qualité de l’air, même partiellement, ainsi que la qualité La nature des plantations devra permettre : - d’atténuer les nuisances sonores vis-à-vis des zones urbanisées d’Entzheim et de Geispolsheim l’infrastructure. Les ensembles arborés et arbustifs existants, en particulier ceux identifiés sur le schéma ci-après doivent être préservés et si possibles renforcés. Les chemins d’exploitation existants devront être maintenus de manière à continuer à desservir les parcelles agricoles. Plan Local d…",forte,"Le passage impose un traitement paysager végétalisé dont l'un des objectifs explicites est d'atténuer les nuisances sonores de l'A35 vis-à-vis des zones urbanisées voisines. Il s'agit d'une prescription d'aménagement urbain (OAP) autonome, non liée au classement sonore réglementaire, et qui vise la protection des zones urbanisées, donc bien dans le périmètre diagBruit. La règle s'applique à un secteur spécifique de l'OAP, pas à l'ensemble du document.",prescription,opposable en compatibilité,lutte_bruit_existant,validé,False,,23,rejeté,traité par la préco précédente
