id_geometrie_synthese,id_gpu,nature,lien_web_document,reference_precise
33,5ef7415de742b3e83e90bd4ca2f8e2f0,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_orientations_amenagement_20230707.pdf,page 22
34,5ef7415de742b3e83e90bd4ca2f8e2f0,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_orientations_amenagement_20230707.pdf,page 26
2,5ef7415de742b3e83e90bd4ca2f8e2f0,PSMV,https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_reglement_20230707.pdf,Article 7
2,5ef7415de742b3e83e90bd4ca2f8e2f0,PSMV,https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_reglement_20230707.pdf,Article 4
2,5ef7415de742b3e83e90bd4ca2f8e2f0,PSMV,https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_reglement_20230707.pdf,Article 4
2,5ef7415de742b3e83e90bd4ca2f8e2f0,PSMV,https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_reglement_20230707.pdf,Article 4
2,5ef7415de742b3e83e90bd4ca2f8e2f0,PSMV,https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_reglement_20230707.pdf,Article 4
6,95d3871caefe158c101a466ab9e91c5b,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page 306
7,95d3871caefe158c101a466ab9e91c5b,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page 312
8,95d3871caefe158c101a466ab9e91c5b,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page 278
9,95d3871caefe158c101a466ab9e91c5b,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page 332
10,95d3871caefe158c101a466ab9e91c5b,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page 374
11,95d3871caefe158c101a466ab9e91c5b,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page 421
12,95d3871caefe158c101a466ab9e91c5b,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page 425
13,95d3871caefe158c101a466ab9e91c5b,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page 11
15,95d3871caefe158c101a466ab9e91c5b,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page 440
16,95d3871caefe158c101a466ab9e91c5b,OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page 449
