nom_commune,code_insee_commune,code_siren_epci,nom_document,nature_document,id_gpu,date_approbation,niveau_couverture,lien_reglement,date_traitement,statut
Achenheim,67001,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Adamswiller,67002,200067841,,,,,,,2026-08-12,trou de couverture
Albé,67003,246700777,Plan Local d'Urbanisme intercommunal (PLUi) DE LA VALLEE DE VILLE,PLUi,12666ec8d6fb548ead67bc9c63776f94,28/07/2025 11:05:15,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/12666ec8d6fb548ead67bc9c63776f94/files/246700777_reglement_20250704.pdf,2026-08-12,document trouvé
Sommerau,67004,200068112,Plan Local d'Urbanisme (PLU) de la commune de SOMMERAU,PLU,412b38543365d415503144f60d56898b,02/06/2025 15:15:25,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/412b38543365d415503144f60d56898b/files/67004_reglement_20250522.pdf,2026-08-12,document trouvé
Alteckendorf,67005,246700959,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE LA ZORN,PLUi,5d8ce7c57a62b3545d243546281d2546,03/08/2026 08:28:16,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/5d8ce7c57a62b3545d243546281d2546/files/246700959_reglement_20260716.pdf,2026-08-12,document trouvé
Altenheim,67006,200068112,,,,,,,2026-08-12,trou de couverture
Altorf,67008,246701064,Plan Local d'Urbanisme (PLU) de la commune de ALTORF,PLU,20a61be30f5ddb32c595001f8ac12cc9,16/06/2025 15:33:12,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/20a61be30f5ddb32c595001f8ac12cc9/files/67008_reglement_20250519.pdf,2026-08-12,document trouvé
Altwiller,67009,200067841,Carte Communale (CC) de la commune de ALTWILLER,CC,61b754234cdd428427297015327ce5cb,16/07/2019 11:48:22,commune,,2026-08-12,document trouvé
Andlau,67010,200034270,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE BARR,PLUi,d5d57b13334e4b7e4e0bbc3ca70df84f,16/01/2025 15:04:28,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/d5d57b13334e4b7e4e0bbc3ca70df84f/files/200034270_reglement_20250107.pdf,2026-08-12,document trouvé
Artolsheim,67011,200030526,,,,,,,2026-08-12,trou de couverture
Aschbach,67012,200040178,Plan Local d'Urbanisme intercommunal (PLUi) DE L'OUTRE-FORET partie A,PLUi,284928e1449906994f1323c4fc818562,23/07/2026 09:49:19,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/284928e1449906994f1323c4fc818562/files/200040178_reglement_20260629_A.pdf,2026-08-12,document trouvé
Asswiller,67013,200067841,,,,,,,2026-08-12,RNU confirmé
Avolsheim,67016,246701064,Plan Local d'Urbanisme (PLU) de la commune de AVOLSHEIM,PLU,813f994f377516c2348dce42f32bca39,02/04/2024 17:38:51,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/813f994f377516c2348dce42f32bca39/files/67016_reglement_20240312.pdf,2026-08-12,document trouvé
