id_gpu,id_occurrence,statut_verification_finale,nom_document,communes,type_piece_source,lien_web_document,reference_type,reference_precise,zone_reglementaire_mentionnee,extrait_significatif,contexte_documentaire,confiance_extrait,justification,nature_occurrence,nature_juridique_piece,nature_sonore_zone,ocr_utilise,ocr_confiance,validation_manuelle_statut,validation_manuelle_commentaire
95d3871caefe158c101a466ab9e91c5b,11_246700488_orientations_amenagement_1_20260206.pdf,validé,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 306,,"Ces espaces verts peuvent être épaissis, notamment en façade Sud-Est entre la VLIO et les secteurs résidentiels du Prévert et de la rue Marcel Pagnol, pour accueillir par exemple des jardins familiaux et des espaces de jeux de plein air et pour constituer une protection phonique par rapport aux nuisances sonores émises par la VLIO.","…e grand paysage. Ces espaces verts peuvent être épaissis, notamment en façade Sud-Est entre la VLIO et les secteurs résidentiels du Prévert et de la rue Marcel Pagnol, pour accueillir par exemple des jardins familiaux et des espaces de jeux de plein air et pour constituer une protection phonique par Ces espaces verts peuvent être épaissis, notamment en façade Sud-Est entre la VLIO et les secteurs résidentiels du Prévert et de la rue Marcel Pagnol, pour accueillir par exemple des jardins familiaux et des espaces de jeux de plein air et pour constituer une protection phonique par rapport aux nuisances sonores émises par la VLIO. L'espace paysagé central de l'allée Saint-Sauveur le Vicomte sera prolongé afin d'assurer une continuité urbaine et paysagère avec l'urbanisation déjà existante. Il sera prolongé jusqu'au chemin rural en limite de zone et accueillera un cheminement doux. La voie à créer sur la façade Sud-Est du sect…",forte,"Le passage recommande d'épaissir les espaces verts en façade Sud-Est afin de constituer une protection phonique contre les nuisances sonores émises par la VLIO, au bénéfice des secteurs résidentiels proches. C'est une mesure d'aménagement urbain visant à protéger des zones résidentielles existantes contre le bruit d'une infrastructure, donc bien dans le périmètre diagBruit avec une confiance forte car la règle est claire.",recommandation,opposable en compatibilité,lutte_bruit_existant,False,,validé,OAP intercommunale : « PORTE DE HAUSBERGEN ». Les espaces verts doivent etre utilisés pour limiter les nuisances sonores de la VLIO
95d3871caefe158c101a466ab9e91c5b,12_246700488_orientations_amenagement_1_20260206.pdf,validé,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 312,,"Dépôt, dans le prolongement de celle existante à Mundolsheim. L'aménagement de la zone ne devra pas obérer les circulations agricoles existantes qui devront être pérennisées, notamment à l'Ouest et au Sud. 3.1.2. Prise en compte des nuisances Cette zone est, en partie, concernée par des nuisances sonores liées à la présence de la voie ferrée à l'Est de la rue du Dépôt, au-delà des voies de stockage des véhicules ferroviaires. Le projet","…a être aménagée. Elle devra être dimensionnée de façon à permettre la circulation des poids lourds. Concernant les modes actifs, l'optimisation des cheminements piétons-cycles sera recherchée pour relier la ZA vers les coeurs de villages. Il s'agira d'aménager une bande cyclable le long de la rue du Dépôt, dans le prolongement de celle existante à Mundolsheim. L'aménagement de la zone ne devra pas obérer les circulations agricoles existantes qui devront être pérennisées, notamment à l'Ouest et au Sud. 3.1.2. Prise en compte des nuisances Cette zone est, en partie, concernée par des nuisances sonores liées à la présence de la voie ferrée à l'Est de la rue du Dépôt, au-delà des voies de stockage des véhicules ferroviaires. Le projet d’aménagement intégrera cette contrainte. En complément des exigences d’isolation phonique des constructions, la composition globale ainsi que les formes urbaines (implantation et hauteur du bâti) pourront également être conçues de manière à limiter les nuisances sonores. 3.1.3. Intégration qualitat…",forte,"Le passage évoque des nuisances sonores liées à la voie ferrée, mais il ne s'agit pas d'un simple renvoi au classement sonore standard : le document impose explicitement une prise en compte via des exigences d'isolation phonique des constructions ET, en complément, via la composition urbaine (implantation, hauteur du bâti) pour limiter les nuisances sonores. Cette dernière exigence va au-delà de l'isolement acoustique standard prévu par l'arrêté de classement sonore, ce qui en fait une règle autonome relevant du périmètre diagBruit (aménagement urbain et bâtiments).",prescription,opposable en compatibilité,lutte_bruit_existant,False,,validé,"OAP Intercommunale ""SECTEUR DE LA ZONE D’ACTIVITÉ INTERCOMMUNALE DES MARÉCHAUX"" : tout projet d'aménagemen ou de constructipojn doit intégrer la contrainte sonore de la voie ferrée à l'Est de la rue du Dépot"
95d3871caefe158c101a466ab9e91c5b,14_246700488_orientations_amenagement_1_20260206.pdf,validé,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 313,,"Un merlon paysager et végétalisé sera aménagé en périphérie de l’aire d’accueil des gens du voyage. Ce dernier devra être conçu de manière à : - participer à la qualité d’accueil de ses occupants, - assurer une transition paysagère qualitative avec la future zone d’activité, - limiter les nuisances sonores futures liées à une éventuelle augmentation des flux à proximité de l’aire d’accueil.","…aire d’accueil sera réalisé sur le réseau existant rue du Dépôt pour le traitement des eaux usées. L’aire sera clôturée pour délimiter son espace par rapport à la future zone d’activités et assurer la sécurité des gens du voyage. Le projet d’aire d’accueil intégrera une approche paysagère. Un merlon Un merlon paysager et végétalisé sera aménagé en périphérie de l’aire d’accueil des gens du voyage. Ce dernier devra être conçu de manière à : - participer à la qualité d’accueil de ses occupants, - assurer une transition paysagère qualitative avec la future zone d’activité, - limiter les nuisances sonores futures liées à une éventuelle augmentation des flux à proximité de l’aire d’accueil. d’aménagement global descrit ci-dessus. Plan Local d’Urbanisme OAP INTERCOMMUNALES SEPTEMBRE 2019 Mundolsheim / Niederhaubergen / Souffelweyersheim Eurométropole de Strasbourg",totale,"Le passage prévoit un aménagement paysager (merlon) spécifique en périphérie de l'aire d'accueil des gens du voyage, avec pour objectif explicite de limiter les nuisances sonores futures liées à l'augmentation des flux à proximité de la future zone d'activités. Il s'agit d'une prescription d'aménagement urbain autonome, sans lien avec le classement sonore ou le PEB, et concernant bien un projet d'aménagement (aire d'accueil / zone d'activités), donc dans le périmètre diagBruit.",prescription,opposable en compatibilité,autre,False,,validé,"OAP intercommunale ""SECTEUR DE LA ZONE D’ACTIVITÉ INTERCOMMUNALE DES MARÉCHAUX"" : l'aire des gens du voyage doit etre protéger des bruits"
95d3871caefe158c101a466ab9e91c5b,1_246700488_reglement_20260206.pdf,validé,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",règlement écrit,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,alinea,"Article 15, alinéa 6",zones repérées au « règlement graphique – plan vigilance » (abords des axes routiers),les espaces extérieurs situés sur la façade implantée au droit d’un axe routier repéré au « règlement graphique – plan vigilance » doivent pouvoir être fermés pour se protéger du bruit et des polluants atmosphériques,"…alité de l’air, dans les zones en dépassements réglementaires et en dépassements réglementaires potentiels, et dans les zones de surveillance aux abords des axes routiers repérées au « règlement graphique – plan vigilance », la conception des nouveaux bâtiments doit intégrer les principes suivants : les espaces extérieurs situés sur la façade implantée au droit d’un axe routier repéré au « règlement graphique – plan vigilance » doivent pouvoir être fermés pour se protéger du bruit et des polluants atmosphériques • la prise d’air du système de ventilation ne doit pas être installée sur la façade implantée au droit de l’axe routier repéré au « règlement graphique – plan vigilance ». Si toutes les façades sont implantées au droit d’axes routiers repérés, la prise d’air du système de ventilation sera installée…",totale,"Ce passage impose des prescriptions constructives autonomes visant à protéger les bâtiments et leurs occupants du bruit routier (façades exposées) dans des zones de vigilance liées à la qualité de l'air et au bruit des axes routiers : fermeture obligatoire des espaces extérieurs situés sur la façade exposée pour se protéger du bruit, et positionnement de la prise d'air de ventilation hors de cette façade. Il ne s'agit pas d'un simple renvoi au classement sonore réglementaire mais d'une règle de conception propre au document d'urbanisme, applicable aux nouveaux bâtiments, donc bien dans le périmètre diagBruit.",prescription,opposable en conformité,lutte_bruit_existant,False,,validé,les prescriptions liés à la qualité de l'air permettent de se protéger du bruit
95d3871caefe158c101a466ab9e91c5b,2_246700488_orientations_amenagement_1_20260206.pdf,validé,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 121,zone tampon le long de voie,"Créer un effet barrière au bruit et à la pollution par l’implantation d’un bâtiment haut en première ligne. Il est admis qu’un bâtiment implanté en première ligne et présentant une hauteur minimale de R+3 participe à créer un effet barrière, dès lors que cette hauteur est par ailleurs autorisée par le règlement.","…tampon : Organiser l’espace en fonction de la vocation des bâtiments. Implanter les habitations et les établissements accueillant des populations sensibles au titre de la qualité de l’air1 le plus loin de la voie. Implanter les bâtiments en retrait par rapport à la chaussée circulée en assurant une Créer un effet barrière au bruit et à la pollution par l’implantation d’un bâtiment haut en première ligne. Il est admis qu’un bâtiment implanté en première ligne et présentant une hauteur minimale de R+3 participe à créer un effet barrière, dès lors que cette hauteur est par ailleurs autorisée par le règlement. Modification n°3 Air Climat Énergie Eurométropole de Strasbourg",forte,"Le passage définit des règles d'aménagement urbain (implantation des bâtiments, création d'un effet barrière) visant explicitement à lutter contre le bruit (et la pollution) provenant d'une voie de circulation, pour protéger les futures constructions à proximité. Il s'agit d'une règle autonome d'urbanisme, distincte du classement sonore réglementaire, et concerne bien des bâtiments donc entre pleinement dans le périmètre diagBruit.",recommandation,opposable en compatibilité,lutte_bruit_existant,False,,validé,"Dans cette zone, l'OAP prpose directement des solutions architecturales à mettre en oeuvre, notamment"
95d3871caefe158c101a466ab9e91c5b,3_246700488_orientations_amenagement_1_20260206.pdf,validé,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 123,,la prise en compte des enjeux liés à la qualité de l’air et au bruit devront être justifiés dans le projet en termes d’aménagement global et/ou de conception des bâtiments,"…rmet également d’optimiser l’ensoleillement et de réduire les îlots de chaleur urbain (cf. chapitre suivant). Ces principes devront être abordés dès le stade de la conception du projet, quand la configuration de l’unité foncière le permet et sans toutefois rompre l’ordonnancement urbain préexistant. la prise en compte des enjeux liés à la qualité de l’air et au bruit devront être justifiés dans le projet en termes d’aménagement global et/ou de conception des bâtiments -66 f - PRINCIPES D’AMÉNAGEMENT CONCERNANT L’ADAPTATION AU CHANGEMENT CLIMATIQUE Principes concernant les espaces de respiration au sein des projets 1. INTRODUCTION / CONTEXTE L’Alsace est particulièrement sensible à deux facteurs : les canicules et les épisodes de pollution à l’ozone, entrainant no…",forte,"Le passage impose que la prise en compte du bruit soit justifiée dans le projet, en termes d'aménagement global et/ou de conception des bâtiments. C'est une règle autonome qui s'applique aux projets de construction et d'aménagement urbain, entrant clairement dans le périmètre diagBruit. Ce n'est pas un simple renvoi au classement sonore ou au PEB.",prescription,opposable en compatibilité,autre,False,,validé,"le prpojet doit justifier de la prise en compte du lors des réflexion amont, notamment en termes d'aménagement global et/ou de conception des bâtiments"
95d3871caefe158c101a466ab9e91c5b,4_246700488_orientations_amenagement_1_20260206.pdf,validé,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 203,,"contraintes de bruit, nuisances acoustiques, pollution des sols...) à prendre en compte dans les choix programmatiques","…nt défini dans le PADD du PLU communautaire comme site métropolitain, ayant vocation à participer au renforcement de l’attractivité du cœur métropolitain et à son repositionnement sur le Rhin. Le site est caractérisé par la présence de l’eau et la proximité du port dont l’activité génère un ensemble contraintes de bruit, nuisances acoustiques, pollution des sols...) à prendre en compte dans les choix programmatiques fortement structuré par ces dernières : - l’avenue du Rhin, reliant Kehl à Strasbourg ; - la liaison interport Nord-Sud reliant le port Nord au port Sud ; - l’extension transfrontalière de la ligne D du tramway reliant Strasbourg à Kehl en 2017, lien physique avec le territoire allemand ; - la ligne…",moyenne,"Le passage mentionne les contraintes de bruit et nuisances acoustiques liées à l'activité portuaire et aux trafics routier/ferroviaire comme éléments à prendre en compte dans les choix programmatiques du site. Ce n'est pas un simple renvoi au classement sonore ou au PEB, mais une orientation générale d'aménagement intégrant le bruit comme contrainte à considérer. La formulation reste toutefois assez générale et peu précise sur les mesures concrètes attendues, d'où une confiance limitée.",recommandation,opposable en compatibilité,lutte_bruit_existant,False,,validé,"L'OAP définit le secteur des deux rives comme un lieu où des nuisances du port existent mais où les projets doivent ""réaliser des quartiers où il fait bon vivre"""
95d3871caefe158c101a466ab9e91c5b,6_246700488_orientations_amenagement_1_20260206.pdf,validé,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 270,"zones de bruit liées aux infrastructures de transport terrestre (A4, RD 63)","les installations techniques des futurs bâtiments visant à aspirer de l’air (VMC) ne pourront pas être implantées sur les façades donnant sur l’A4 et sur la RD 63, - les constructions situées dans les zones de bruit liées aux infrastructures de transport terrestre feront l’objet de dispositifs s’isolation acoustique.","…rs de la zone de vigilance du Plan de Protection de l’Atmosphère (PPA) de l’agglomération strasbourgeoise adopté le 4 juin 2014, - permettre l’aménagement des espaces de vente extérieurs, autorisés sous condition d’intégration architecturale ou paysagère, uniquement s’ils s’implanteront en dehors de les installations techniques des futurs bâtiments visant à aspirer de l’air (VMC) ne pourront pas être implantées sur les façades donnant sur l’A4 et sur la RD 63, - les constructions situées dans les zones de bruit liées aux infrastructures de transport terrestre feront l’objet de dispositifs s’isolation acoustique. terrestre feront l’objet de dispositifs s’isolation acoustique. 3.2. LES PRINCIPES D’AMÉNAGEMENT PAR SECTEUR Modernisation et restructuration des secteurs dédiés aux activités commerciales • Les plans ci-après représentent les trois secteurs commerciaux existants qui ont vocation à être restructurés…",forte,"Le passage contient deux règles distinctes liées au bruit, applicables à des bâtiments (donc dans le périmètre diagBruit) : 1) interdiction d'implanter les VMC des futurs bâtiments sur les façades donnant sur l'A4 et la RD 63, ce qui est une règle autonome allant au-delà d'un simple renvoi au classement sonore ; 2) obligation de dispositifs d'isolation acoustique pour les constructions situées dans les zones de bruit liées aux infrastructures de transport terrestre. Cette seconde règle pourrait sembler être un simple renvoi au classement sonore, mais elle est formulée comme une prescription du document d'urbanisme lui-même, sans référence explicite à l'arrêté préfectoral de classement sonore, ce qui justifie de la retenir. L'ensemble concerne bien les bâtiments, pas seulement l'infrastructure elle-même.",prescription,opposable en compatibilité,autre,False,,validé,Obligation de ne pas implenter des entrées d'air de VMC face à l'A35 et la D63
95d3871caefe158c101a466ab9e91c5b,8_246700488_orientations_amenagement_1_20260206.pdf,validé,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 279,,"Intégrer les différentes nuisances du site pour proposer des solutions urbaines, paysagères et architecturales permettant la cohabitation avec du logement : route de Strasbourg (RD 263 : qualité d'air et pollution sonore), autoroutes (qualité d'air et pollution sonore), voie ferrée à l'ouest (pollution sonore)","…r du giratoire (traitement et programmation des rez-de-chaussée : pas de logements mono-orientés vers la route, aucun logement en rez-de-chaussée autour du giratoire, pas de locaux techniques ou de murs aveugles…). - Privilégier l'implantation de commerces et services de proximité en rez-de-chaussée Intégrer les différentes nuisances du site pour proposer des solutions urbaines, paysagères et architecturales permettant la cohabitation avec du logement : route de Strasbourg (RD 263 : qualité d'air et pollution sonore), autoroutes (qualité d'air et pollution sonore), voie ferrée à l'ouest (pollution sonore) qualitatives). Cette contextualisation implique également une organisation des logements et un traitement des façades et prolongements extérieurs spécifiques. - Limiter les conflits de cohabitation avec les locaux d'activités existants et intégrer leurs contraintes fonctionnelles (éléments technique…",forte,"Le passage demande explicitement d'intégrer la pollution sonore générée par plusieurs infrastructures (route de Strasbourg, autoroutes, voie ferrée) dans la conception urbaine, paysagère et architecturale du secteur, avec des implications sur l'organisation des logements et le traitement des façades. Il ne s'agit pas d'un simple renvoi au classement sonore mais d'une recommandation d'aménagement urbain intégrant la nuisance sonore comme donnée de conception, ce qui relève bien du périmètre diagBruit (bâtiments et aménagement urbain, pas seulement l'infrastructure elle-même).",recommandation,opposable en compatibilité,lutte_bruit_existant,False,,validé,Il est obligatoire que tout projet d'aménagement urbain prenne en compte la dimension sonore
95d3871caefe158c101a466ab9e91c5b,9_246700488_orientations_amenagement_1_20260206.pdf,validé,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page,page 290,,Les principes de cette OAP visent à renforcer les protections naturelles déjà en place contre les nuisances acoustiques et à améliorer la qualité de l’air,"…Nord de l’A 35. Les zones urbanisées d’Entzheim et de Geispolsheim se situent à quelques centaines de mètres seulement de cette infrastructure qui génère de nombreuses nuisances pour les habitants. Celles-ci sont en partie atténuées par l’environnement naturel au Nord (talus, végétation existante). Les principes de cette OAP visent à renforcer les protections naturelles déjà en place contre les nuisances acoustiques et à améliorer la qualité de l’air paysagère des abords de l’autoroute A 35. 3. PRINCIPES D’AMÉNAGEMENT Le secteur devra faire l’objet d’un traitement paysager grâce à une végétalisation comportant des plantations sur plusieurs strates (dont à minima une strate arborée). La nature des plantations devra permettre : - d’atténuer les nu…",forte,"Le passage décrit une OAP visant à créer des espaces végétalisés le long de l'A35 pour renforcer les protections naturelles contre les nuisances acoustiques subies par les zones urbanisées voisines (Entzheim, Geispolsheim). Ce n'est pas un simple renvoi au classement sonore : il s'agit d'une prescription d'aménagement paysager (traitement végétal multi-strates) destinée à atténuer le bruit routier au bénéfice des zones bâties à proximité, donc dans le périmètre diagBruit malgré le fait que l'infrastructure elle-même (A35) soit également concernée.",prescription,opposable en compatibilité,lutte_bruit_existant,False,,validé,"L'OAP Intercommunale ""Aménagements paysagers aux abords de l’A35"" insiste sur la nécéssité de renforcer les protection acoustiques naturelles existantes en utilisant des ressources naturelles et végétales"
