id_geometrie,id_gpu,id_occurrence,code_insee_commune,nature_zone,portee_geometrique,nom_document,communes,type_piece_source,reference_type,reference_precise,lien_web_document,zone_reglementaire_mentionnee,justification,validation_manuelle_commentaire,statut_verification_finale,date_traitement
6,95d3871caefe158c101a466ab9e91c5b,11_246700488_orientations_amenagement_1_20260206.pdf,,occurrence_locale,zone_specifique,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,page,page 306,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,OAP intercommunale : « PORTE DE HAUSBERGEN »,"Le passage recommande d'épaissir les espaces verts en façade Sud-Est pour constituer une protection phonique contre les nuisances sonores de la VLIO, au bénéfice des secteurs résidentiels avoisinants. Il s'agit d'une règle d'aménagement urbain (espaces verts/plantations) visant à protéger l'urbanisation existante du bruit, ce qui relève bien du périmètre diagBruit et non d'un simple renvoi au classement sonore.",Les espaces verts doivent etre utilisés pour limiter les nuisances sonores de la VLIO,corrigé,2026-08-17
7,95d3871caefe158c101a466ab9e91c5b,12_246700488_orientations_amenagement_1_20260206.pdf,,occurrence_locale,zone_specifique,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,page,page 312,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,"OAP Intercommunale ""SECTEUR DE LA ZONE D’ACTIVITÉ INTERCOMMUNALE DES MARÉCHAUX""","Le passage concerne une zone d'aménagement urbain (ZA) exposée au bruit d'une voie ferrée, et prescrit des mesures allant au-delà de la simple isolation phonique standard : la composition urbaine, l'implantation et la hauteur des bâtiments doivent être conçues pour limiter les nuisances sonores. Cela dépasse le simple renvoi à l'isolement acoustique réglementaire lié au classement sonore, et constitue donc une règle autonome relevant du périmètre diagBruit. La portée est limitée à la zone spécifique concernée par cette nuisance (partie Est de la ZA, le long de la voie ferrée).",tout projet d'aménagemen ou de constructipojn doit intégrer la contrainte sonore de la voie ferrée à l'Est de la rue du Dépot ; l'aire des gens du voyage doit etre protéger des bruits (par un merlon par exemple),corrigé,2026-08-17
8,95d3871caefe158c101a466ab9e91c5b,12_246700488_orientations_amenagement_2_20260206.pdf,,occurrence_locale,zone_specifique,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,page,page 278,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,OAP Communale COMMUNE DE MUNDOLSHEIM : « SECTEUR À L’OUEST DE LA RUE DES FLORALIES »,"Le passage identifie une zone d'OAP soumise aux nuisances sonores de la voie ferrée et recommande d'agir sur la composition urbaine (maillage des voies, implantation et hauteur du bâti) et éventuellement sur l'isolation phonique des constructions pour limiter ces impacts. Il s'agit d'une règle autonome, distincte du classement sonore réglementaire, portant sur l'aménagement et les bâtiments de cette zone spécifique du projet urbain.",,corrigé,2026-08-17
9,95d3871caefe158c101a466ab9e91c5b,13_246700488_orientations_amenagement_2_20260206.pdf,,occurrence_locale,zone_specifique,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,page,page 332,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,OAP Communale COMMUNE DE OSTWALD : « SECTEUR SUD-OUEST »,"Le passage établit une règle de hauteur des bâtiments pour assurer une protection acoustique contre le bruit ferroviaire et routier, ce qui concerne directement la conception des bâtiments (et non uniquement l'infrastructure de transport elle-même). La règle s'applique à des secteurs géographiques précis de l'OAP (le long de la voie ferrée, près de la gare, le long de la liaison Est-Ouest, et dans une moindre mesure le long de la voie structurante), donc portée zone_specifique.","Les batiments le long de la voie ferrée et à proximité de la gare, et le long de la liaison Est-Ouest la plus proche du futur passage sur la voie ferrée doivent présenter les hauteurs les plus hautes, pour assurer un effet d'écran. Attention, un tel écran s'appuie aussi sur la continuité du bati, mais peut crééer des ""rue en U"" ou rue ""Canyions"", qui amplifie les risques sonores",corrigé,2026-08-17
10,95d3871caefe158c101a466ab9e91c5b,15_246700488_orientations_amenagement_2_20260206.pdf,,occurrence_locale,zone_specifique,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,page,page 374,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,"OAP Communale ""COMMUNE DE REICHSTETT : « SECTEUR NORD »""","Ce passage concerne directement l'aménagement urbain et la conception du bâti (formes urbaines, implantation, hauteur, maillage des voies) pour limiter la diffusion du bruit de la RD 63, ce qui relève pleinement du périmètre diagBruit. Il ne s'agit pas d'un simple renvoi au classement sonore mais de recommandations d'aménagement propres à ce secteur d'étude/ZAC. La portée est limitée à la zone du projet urbain décrite.","L'OAP préconise dexu angles de limitation des nuisances : 1. Agir à la source, sur le système de voirie lié à la RD 63. 2. agir sur la composition globale (maillage des voies, ouvertures et fermetures visuelles, ...), les formes urbaines (implantation du bâti, hauteur du bâti,...) cherchant dans l'ensemble à limiter la diffusion du bruit au sein du projet",corrigé,2026-08-17
11,95d3871caefe158c101a466ab9e91c5b,17_246700488_orientations_amenagement_2_20260206.pdf,,occurrence_locale,zone_specifique,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,page,page 421,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,OAP Communale COMMUNE DE SOUFFELWEYERSHEIM : « SECTEUR D’EXTENSION OUEST RUE DE L’INDUSTRIE »,"Le passage concerne une OAP sectorielle (secteur exposé au bruit de l'autoroute et des voies ferrées) et impose une prise en compte du bruit dans l'aménagement du projet, ainsi que des protections acoustiques allant au-delà des exigences réglementaires standard (double peau, protections amovibles). Cela dépasse le simple renvoi à l'isolement acoustique réglementaire lié au classement sonore, ce qui constitue une règle autonome. La portée est limitée au secteur de l'OAP concerné, non précisé par un nom de zone réglementaire classique mais correspondant à un secteur d'aménagement spécifique.","l'OAP point les sources de suisance que sont l'autoroute et la voie ferrée. ""le bruit et la qualité de l'air devront être pris en compte dans l'aménagement du projet "", ""Les protections acoustiques permettant également d'aller au-delà des exigences réglementaires sont à privilégier (double peau, protections amovibles pour les prolongements extérieurs ...).""",corrigé,2026-08-17
12,95d3871caefe158c101a466ab9e91c5b,19_246700488_orientations_amenagement_2_20260206.pdf,,occurrence_locale,zone_specifique,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,page,page 425,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,OAP Communal COMMUNE DE SOUFFELWEYERSHEIM : « SECTEUR POINTE DE LA SOUFFEL II »,"Le passage impose la prise en compte du bruit dans le plan d'aménagement et la conception des bâtiments, et exige des exigences d'isolement acoustique renforcées (double peau, protections amovibles) pour les futurs occupants du parc d'activités - il ne s'agit pas d'un simple renvoi au classement sonore ou au PEB mais d'une règle autonome propre à ce document d'urbanisme, applicable au secteur du parc d'activités.","l'OAP rappelle que ""Le bruit et la qualité de l'air devront être pris en compte dans le plan d’aménagement du projet et la conception du bâtiment"" et ""Afin d'atténuer les nuisances supportées par les futurs occupants, les bâtiments devront répondre aux exigences d'isolement acoustique (double peau, protections amovibles pour les prolongements extérieurs, etc). """,corrigé,2026-08-17
13,95d3871caefe158c101a466ab9e91c5b,1_246700488_orientations_amenagement_2_20260206.pdf,,occurrence_locale,zone_specifique,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,page,page 11,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,COMMUNE DE ACHENHEIM : SECTEUR EST DIT « LE HIRSCHBERG»,"Le passage établit une règle d'aménagement urbain visant à protéger les habitations des nuisances sonores routières (RD 45) via le développement d'une zone d'activités faisant écran. Cela relève bien du périmètre diagBruit (aménagement urbain en lien avec des bâtiments/habitations), et non d'une simple règle d'infrastructure de transport. La règle s'applique spécifiquement au secteur le long de la RD 45 concerné par cette OAP communale, donc portée géométrique zone_specifique.",la zone d'activité créé devra l'etre avec l'ambition (et la preuve) qu'elle permet de proteger les habitations du bruit de la RD45,corrigé,2026-08-17
14,95d3871caefe158c101a466ab9e91c5b,1_246700488_reglement_20260206.pdf,,occurrence_locale,zone_specifique,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",règlement écrit,alinea,"Article 15, alinéa 6",https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,zones repérées au « règlement graphique – plan vigilance » (dépassements réglementaires de qualité de l'air et abords d'axes routiers),"Le passage impose des règles constructives (fermeture des espaces extérieurs en façade sur axe routier, ventilation filtrante) motivées à la fois par le bruit et la pollution atmosphérique, dans une zone de vigilance qualité de l'air/bruit routier distincte du classement sonore réglementaire classique. Il s'agit d'une règle autonome d'urbanisme, applicable aux bâtiments, dans une zone spécifique délimitée graphiquement (plan vigilance), donc retenue avec portée géométrique zone_specifique.","les prescriptions liés à la qualité de l'air permettent de se protéger du bruit en obligean les espaces exterieurs des façades (balcon, avancé de fenetres) à pouvoir etre fermés",validé,2026-08-17
15,95d3871caefe158c101a466ab9e91c5b,21_246700488_orientations_amenagement_2_20260206.pdf,,occurrence_locale,zone_specifique,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim",OAP,page,page 440,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,OAP Communale COMMUNE DE STRASBOURG : « SECTEUR ETOILE »,"Le passage impose un principe d'aménagement explicite de protection du cœur d'îlot contre le bruit, à obtenir par la continuité du front bâti au Nord dans le secteur Lombardie. C'est une règle d'urbanisme autonome liée au bruit, concernant l'implantation du bâti, donc bien dans le périmètre diagBruit.",la contruction en ilot vise notamment à lutter contre le bruit et offrir des façades calmes,corrigé,2026-08-17
